step,loss,accuracy,eval_loss,eval_accuracy
1,1.4287109375,0.4887585532746823,,
2,1.2763671875,0.5219941348973607,,
3,1.5830078125,0.46432062561094817,,
4,1.23828125,0.5503421309872922,,
5,1.23828125,0.5356793743890518,,
6,1.2646484375,0.5483870967741935,,
7,1.390625,0.48191593352883677,,
8,1.48046875,0.458455522971652,,
9,1.1337890625,0.552297165200391,,
10,2.0078125,0.40371456500488756,,
11,1.59765625,0.4340175953079179,,
12,1.30859375,0.5161290322580645,,
13,1.681640625,0.39100684261974583,,
14,1.041015625,0.6285434995112414,,
15,1.4072265625,0.5210166177908113,,
16,1.3359375,0.5171065493646139,,
17,1.39453125,0.4701857282502444,,
18,1.72265625,0.4027370478983382,,
19,1.3544921875,0.5053763440860215,,
20,1.55078125,0.42424242424242425,,
21,1.4765625,0.45650048875855326,,
22,1.4267578125,0.48191593352883677,,
23,1.0078125,0.5982404692082112,,
24,1.265625,0.5063538611925709,,
25,1.2041015625,0.4975562072336266,,
26,1.3486328125,0.48484848484848486,,
27,1.4609375,0.4662756598240469,,
28,1.37890625,0.5161290322580645,,
29,1.501953125,0.426197458455523,,
30,1.306640625,0.5356793743890518,,
31,1.2421875,0.5161290322580645,,
32,1.484375,0.4682306940371456,,
33,1.29296875,0.48778103616813295,,
34,1.3837890625,0.4975562072336266,,
35,1.443359375,0.47116324535679377,,
36,1.587890625,0.501466275659824,,
37,1.2333984375,0.5073313782991202,,
38,1.306640625,0.5366568914956011,,
39,1.0927734375,0.5669599217986315,,
40,1.43359375,0.45650048875855326,,
41,1.416015625,0.4838709677419355,,
42,1.3046875,0.4858260019550342,,
43,1.43359375,0.4398826979472141,,
44,1.3095703125,0.5395894428152492,,
45,1.6171875,0.3978494623655914,,
46,1.5791015625,0.4066471163245357,,
47,1.4453125,0.4701857282502444,,
48,1.314453125,0.4868035190615836,,
49,1.3359375,0.49853372434017595,,
50,1.3720703125,0.49266862170087977,,
51,1.6162109375,0.4232649071358749,,
52,1.3857421875,0.4946236559139785,,
53,1.5380859375,0.43010752688172044,,
54,1.6318359375,0.4506353861192571,,
55,1.4755859375,0.4858260019550342,,
56,1.310546875,0.5112414467253177,,
57,1.4033203125,0.4701857282502444,,
58,1.3515625,0.5053763440860215,,
59,1.4775390625,0.46432062561094817,,
60,1.6142578125,0.40175953079178883,,
61,1.4423828125,0.46725317693059626,,
62,1.9990234375,0.4056695992179863,,
63,1.3017578125,0.4858260019550342,,
64,1.3701171875,0.49853372434017595,,
65,1.412109375,0.48484848484848486,,
66,1.3818359375,0.48778103616813295,,
67,1.3330078125,0.5004887585532747,,
68,1.306640625,0.5395894428152492,,
69,1.1982421875,0.4995112414467253,,
70,1.578125,0.40175953079178883,,
71,1.3037109375,0.533724340175953,,
72,1.4990234375,0.4291300097751711,,
73,1.3486328125,0.5024437927663734,,
74,1.2890625,0.49266862170087977,,
75,1.4560546875,0.4633431085043988,,
76,1.00390625,0.6021505376344086,,
77,1.7177734375,0.39589442815249265,,
78,1.349609375,0.4965786901270772,,
79,1.412109375,0.4916911045943304,,
80,1.087890625,0.5728250244379277,,
81,1.5712890625,0.45943304007820135,,
82,1.306640625,0.5102639296187683,,
83,1.3994140625,0.4750733137829912,,
84,1.6123046875,0.426197458455523,,
85,1.4287109375,0.45943304007820135,,
86,1.3037109375,0.5317693059628543,,
87,1.3994140625,0.5259042033235581,,
88,1.3017578125,0.5073313782991202,,
89,1.470703125,0.45943304007820135,,
90,1.4208984375,0.4838709677419355,,
91,1.34375,0.4946236559139785,,
92,1.53515625,0.4310850439882698,,
93,1.6767578125,0.39589442815249265,,
94,1.0341796875,0.6344086021505376,,
95,1.375,0.512218963831867,,
96,1.37890625,0.5004887585532747,,
97,1.38671875,0.4633431085043988,,
98,1.58984375,0.4359726295210166,,
99,1.5810546875,0.501466275659824,,
100,1.2373046875,0.5239491691104594,,
101,1.4287109375,0.44379276637341153,,
102,1.1259765625,0.5542521994134897,,
103,1.4384765625,0.4682306940371456,,
104,1.232421875,0.5386119257086999,,
105,1.474609375,0.46432062561094817,,
106,1.310546875,0.4858260019550342,,
107,1.259765625,0.5581622678396871,,
108,1.228515625,0.5083088954056696,,
109,1.470703125,0.4858260019550342,,
110,1.2294921875,0.5503421309872922,,
111,1.3330078125,0.5171065493646139,,
112,1.5458984375,0.4252199413489736,,
113,1.3828125,0.5004887585532747,,
114,1.6279296875,0.4506353861192571,,
115,1.2587890625,0.5083088954056696,,
116,1.470703125,0.46725317693059626,,
117,1.263671875,0.5259042033235581,,
118,1.48046875,0.4682306940371456,,
119,1.3037109375,0.5405669599217986,,
120,1.609375,0.4056695992179863,,
121,1.4267578125,0.4447702834799609,,
122,1.4677734375,0.4858260019550342,,
123,1.7138671875,0.39882697947214074,,
124,1.298828125,0.5327468230694037,,
125,1.5869140625,0.43792766373411535,,
126,1.3759765625,0.48484848484848486,,
127,0.99951171875,0.6080156402737048,,
128,1.3984375,0.47116324535679377,,
129,1.466796875,0.458455522971652,,
130,1.4521484375,0.46529814271749753,,
131,1.302734375,0.5043988269794721,,
132,1.3642578125,0.4975562072336266,,
133,1.28515625,0.4897360703812317,,
134,1.4365234375,0.4701857282502444,,
135,1.255859375,0.5083088954056696,,
136,1.2998046875,0.5317693059628543,,
137,1.4375,0.46920821114369504,,
138,1.423828125,0.4555229716520039,,
139,1.6064453125,0.4310850439882698,,
140,1.255859375,0.5620723362658846,,
141,1.3779296875,0.501466275659824,,
142,1.2255859375,0.5102639296187683,,
143,1.33203125,0.49853372434017595,,
144,1.56640625,0.458455522971652,,
145,1.2998046875,0.512218963831867,,
146,1.404296875,0.4897360703812317,,
147,1.9912109375,0.4046920821114369,,
148,1.625,0.45454545454545453,,
149,1.2607421875,0.5210166177908113,,
150,1.4072265625,0.4780058651026393,,
151,1.3740234375,0.5043988269794721,,
152,1.5751953125,0.5043988269794721,,
153,1.572265625,0.4056695992179863,,
154,1.6748046875,0.40078201368523947,,
155,1.533203125,0.4310850439882698,,
156,1.4169921875,0.48191593352883677,,
157,1.4677734375,0.46529814271749753,,
158,1.234375,0.5288367546432062,,
159,1.54296875,0.4203323558162268,,
160,1.0849609375,0.5738025415444771,,
161,1.330078125,0.5190615835777126,,
162,1.029296875,0.6402737047898338,,
163,1.3828125,0.46236559139784944,,
164,1.2978515625,0.4887585532746823,,
165,1.3427734375,0.5083088954056696,,
166,1.4775390625,0.4701857282502444,,
167,1.4951171875,0.43010752688172044,,
168,1.193359375,0.4995112414467253,,
169,1.3388671875,0.4887585532746823,,
170,1.4716796875,0.4662756598240469,,
171,1.12109375,0.555229716520039,,
172,1.3720703125,0.509286412512219,,
173,1.2255859375,0.5542521994134897,,
174,1.3076171875,0.4887585532746823,,
175,1.228515625,0.5395894428152492,,
176,1.3935546875,0.5259042033235581,,
177,1.345703125,0.4995112414467253,,
178,1.5703125,0.5043988269794721,,
179,1.08203125,0.5747800586510264,,
180,1.0263671875,0.6422287390029325,,
181,1.328125,0.49853372434017595,,
182,1.1923828125,0.4965786901270772,,
183,1.119140625,0.5571847507331378,,
184,1.3720703125,0.501466275659824,,
185,1.44921875,0.4633431085043988,,
186,1.3056640625,0.48778103616813295,,
187,1.4345703125,0.4750733137829912,,
188,1.2822265625,0.4887585532746823,,
189,1.251953125,0.5141739980449658,,
190,1.296875,0.5317693059628543,,
191,1.6025390625,0.4310850439882698,,
192,1.5302734375,0.43304007820136853,,
193,1.6064453125,0.4027370478983382,,
194,1.298828125,0.5043988269794721,,
195,1.4638671875,0.48778103616813295,,
196,1.62109375,0.4525904203323558,,
197,1.2958984375,0.4897360703812317,,
198,1.2265625,0.5386119257086999,,
199,1.251953125,0.5601173020527859,,
200,1.33984375,0.5083088954056696,,
