step,loss,accuracy,eval_loss,eval_accuracy
0,,,1.4130859375,0.48891063274624913
1,1.34765625,0.461839530332681,,
2,1.6708984375,0.3953033268101761,,
3,1.4189453125,0.5146771037181996,,
4,1.470703125,0.47162426614481406,,
5,1.44921875,0.46771037181996084,,
6,1.396484375,0.48140900195694714,,
7,1.240234375,0.5694716242661448,,
8,1.5107421875,0.46771037181996084,,
9,1.2900390625,0.5362035225048923,,
10,1.396484375,0.487279843444227,,
11,1.26171875,0.48532289628180036,,
12,1.3125,0.5322896281800391,,
13,1.5048828125,0.4383561643835616,,
14,1.2578125,0.5107632093933464,,
15,1.529296875,0.48532289628180036,,
16,1.568359375,0.4500978473581213,,
17,1.2158203125,0.5616438356164384,,
18,1.6708984375,0.40313111545988256,,
19,1.4208984375,0.5185909980430529,,
20,1.3603515625,0.46966731898238745,,
21,1.20703125,0.5342465753424658,,
22,1.544921875,0.41291585127201563,,
23,1.423828125,0.48336594911937375,,
24,1.490234375,0.45596868884540115,,
25,1.4541015625,0.50293542074364,,
26,1.314453125,0.5244618395303327,,
27,1.123046875,0.6086105675146771,,
28,1.328125,0.4892367906066536,,
29,1.41015625,0.487279843444227,,
30,1.060546875,0.5831702544031311,,
31,1.294921875,0.48140900195694714,,
32,1.2880859375,0.48140900195694714,,
33,1.29296875,0.48336594911937375,,
34,1.552734375,0.4520547945205479,,
35,1.2744140625,0.538160469667319,,
36,1.1943359375,0.5694716242661448,,
37,1.4423828125,0.5048923679060665,,
38,1.1083984375,0.6125244618395304,,
39,1.529296875,0.4187866927592955,,
40,1.6533203125,0.4090019569471624,,
41,1.2216796875,0.5616438356164384,,
42,1.396484375,0.49706457925636005,,
43,1.2822265625,0.547945205479452,,
44,1.6376953125,0.3953033268101761,,
45,1.345703125,0.4755381604696673,,
46,1.3994140625,0.5166340508806262,,
47,1.5009765625,0.48532289628180036,,
48,1.42578125,0.46966731898238745,,
49,1.4521484375,0.46966731898238745,,
50,1.0361328125,0.5870841487279843,,
50,,,1.41064453125,0.48499673842139596
51,1.373046875,0.4794520547945205,,
52,1.2451171875,0.4774951076320939,,
53,1.3134765625,0.4931506849315068,,
54,1.390625,0.5166340508806262,,
55,1.2734375,0.48336594911937375,,
56,1.40625,0.4774951076320939,,
57,1.4892578125,0.44422700587084146,,
58,1.3759765625,0.49706457925636005,,
59,1.296875,0.5283757338551859,,
60,1.3125,0.4911937377690802,,
61,1.48828125,0.48532289628180036,,
62,1.46875,0.4520547945205479,,
63,1.24609375,0.49902152641878667,,
64,1.1884765625,0.5440313111545988,,
65,1.3681640625,0.49706457925636005,,
66,1.2099609375,0.5577299412915852,,
67,1.2666015625,0.5577299412915852,,
68,1.6220703125,0.40313111545988256,,
69,1.2333984375,0.4774951076320939,,
70,1.177734375,0.5772994129158513,,
71,1.267578125,0.4892367906066536,,
72,1.3759765625,0.5166340508806262,,
73,1.259765625,0.5440313111545988,,
74,1.30078125,0.49510763209393344,,
75,1.4755859375,0.44031311154598823,,
76,1.4130859375,0.4755381604696673,,
77,1.380859375,0.49902152641878667,,
78,1.33203125,0.48140900195694714,,
79,1.484375,0.49510763209393344,,
80,1.01953125,0.5968688845401174,,
81,1.298828125,0.49510763209393344,,
82,1.5361328125,0.4520547945205479,,
83,1.4423828125,0.4735812133072407,,
84,1.5126953125,0.4207436399217221,,
85,1.6376953125,0.41487279843444225,,
86,1.423828125,0.5068493150684932,,
87,1.0869140625,0.6262230919765166,,
88,1.3916015625,0.4911937377690802,,
89,1.28125,0.5303326810176126,,
90,1.1748046875,0.5499021526418787,,
91,1.47265625,0.487279843444227,,
92,1.2607421875,0.4911937377690802,,
93,1.3564453125,0.4892367906066536,,
94,1.236328125,0.50293542074364,,
95,1.3818359375,0.5205479452054794,,
96,1.453125,0.4520547945205479,,
97,1.369140625,0.5068493150684932,,
98,1.2177734375,0.47162426614481406,,
99,1.4462890625,0.45792563600782776,,
100,1.2490234375,0.5596868884540117,,
100,,,1.4114583333333333,0.4846705805609915
101,1.466796875,0.49902152641878667,,
102,1.4296875,0.47162426614481406,,
103,1.3466796875,0.5009784735812133,,
104,1.37109375,0.5225048923679061,,
105,1.287109375,0.5048923679060665,,
106,1.2236328125,0.5068493150684932,,
107,1.19921875,0.5636007827788649,,
108,1.07421875,0.6183953033268101,,
109,1.6201171875,0.4187866927592955,,
110,1.16015625,0.5812133072407045,,
111,1.3603515625,0.512720156555773,,
112,1.3193359375,0.48336594911937375,,
113,1.4111328125,0.5166340508806262,,
114,1.4970703125,0.42661448140900193,,
115,1.349609375,0.5048923679060665,,
116,1.2490234375,0.48336594911937375,,
117,1.26953125,0.5264187866927593,,
118,1.0048828125,0.5929549902152642,,
119,1.4013671875,0.4794520547945205,,
120,1.287109375,0.49706457925636005,,
121,1.607421875,0.39921722113502933,,
122,1.46484375,0.44227005870841485,,
123,1.2509765625,0.5596868884540117,,
124,1.4599609375,0.487279843444227,,
125,1.25390625,0.487279843444227,,
126,1.158203125,0.5420743639921722,,
127,1.525390625,0.4520547945205479,,
128,1.376953125,0.4911937377690802,,
129,1.35546875,0.512720156555773,,
130,1.2548828125,0.5322896281800391,,
131,1.30859375,0.48532289628180036,,
132,1.484375,0.42857142857142855,,
133,1.2353515625,0.5596868884540117,,
134,1.2744140625,0.5068493150684932,,
135,1.4208984375,0.46966731898238745,,
136,1.05859375,0.6281800391389433,,
137,1.513671875,0.4598825831702544,,
138,1.2734375,0.49706457925636005,,
139,1.2138671875,0.5225048923679061,,
140,1.2412109375,0.49902152641878667,,
141,0.9892578125,0.5968688845401174,,
142,1.205078125,0.4774951076320939,,
143,1.1884765625,0.5753424657534246,,
144,1.388671875,0.4755381604696673,,
145,1.3984375,0.5088062622309197,,
146,1.4521484375,0.45401174168297453,,
147,1.36328125,0.4911937377690802,,
148,1.14453125,0.5792563600782779,,
149,1.3427734375,0.5185909980430529,,
150,1.421875,0.47162426614481406,,
150,,,1.4163411458333333,0.48532289628180036
151,1.357421875,0.5283757338551859,,
152,1.3330078125,0.5205479452054794,,
153,1.453125,0.5048923679060665,,
154,1.6005859375,0.4070450097847358,,
155,1.23828125,0.4911937377690802,,
156,1.330078125,0.50293542074364,,
157,1.607421875,0.41487279843444225,,
158,1.4482421875,0.4931506849315068,,
159,1.236328125,0.5596868884540117,,
160,1.1494140625,0.5459882583170255,,
161,1.3232421875,0.5225048923679061,,
162,1.2421875,0.5362035225048923,,
163,0.9765625,0.5949119373776908,,
164,1.1328125,0.5733855185909981,,
165,1.201171875,0.5244618395303327,,
166,1.296875,0.487279843444227,,
167,1.1943359375,0.49902152641878667,,
168,1.4990234375,0.4637964774951076,,
169,1.373046875,0.487279843444227,,
170,1.4345703125,0.49706457925636005,,
171,1.4375,0.4520547945205479,,
172,1.58203125,0.40313111545988256,,
173,1.4375,0.5048923679060665,,
174,1.4072265625,0.48140900195694714,,
175,1.2255859375,0.5694716242661448,,
176,1.2578125,0.5107632093933464,,
177,1.2275390625,0.49706457925636005,,
178,1.3857421875,0.50293542074364,,
179,1.46875,0.42857142857142855,,
180,1.345703125,0.4931506849315068,,
181,1.5927734375,0.42661448140900193,,
182,1.2265625,0.49510763209393344,,
183,1.31640625,0.512720156555773,,
184,1.34375,0.5166340508806262,,
185,1.40234375,0.47162426614481406,,
186,1.2255859375,0.5636007827788649,,
187,1.3291015625,0.5185909980430529,,
188,1.1357421875,0.5577299412915852,,
189,1.3447265625,0.5244618395303327,,
190,1.05078125,0.62426614481409,,
191,1.2626953125,0.5068493150684932,,
192,1.1787109375,0.5733855185909981,,
193,1.3916015625,0.4774951076320939,,
194,1.455078125,0.43052837573385516,,
195,1.1796875,0.5048923679060665,,
196,1.3134765625,0.5244618395303327,,
197,1.2255859375,0.5322896281800391,,
198,1.2099609375,0.5675146771037182,,
199,1.21484375,0.4892367906066536,,
200,1.302734375,0.5107632093933464,,
200,,,1.42578125,0.4885844748858448
201,1.3310546875,0.5225048923679061,,
202,1.1943359375,0.5185909980430529,,
203,1.216796875,0.49902152641878667,,
204,1.2490234375,0.5166340508806262,,
205,1.03515625,0.6281800391389433,,
206,1.244140625,0.5166340508806262,,
207,1.3046875,0.5146771037181996,,
208,1.42578125,0.45401174168297453,,
209,1.3310546875,0.5225048923679061,,
210,1.361328125,0.48140900195694714,,
211,1.1640625,0.5792563600782779,,
212,1.375,0.5107632093933464,,
213,1.5771484375,0.42661448140900193,,
214,1.2880859375,0.49510763209393344,,
215,1.4189453125,0.4931506849315068,,
216,1.5703125,0.40313111545988256,,
217,1.2119140625,0.5596868884540117,,
218,1.423828125,0.5068493150684932,,
219,1.333984375,0.5068493150684932,,
220,1.3876953125,0.46966731898238745,,
221,1.1162109375,0.5851272015655578,,
222,0.96875,0.598825831702544,,
223,1.4921875,0.45401174168297453,,
224,1.126953125,0.5694716242661448,,
225,1.314453125,0.5362035225048923,,
226,1.3603515625,0.5107632093933464,,
227,1.5576171875,0.4324853228962818,,
228,1.16796875,0.50293542074364,,
229,1.37890625,0.4911937377690802,,
230,1.31640625,0.5107632093933464,,
231,1.48046875,0.46771037181996084,,
232,1.4033203125,0.4931506849315068,,
233,1.103515625,0.5870841487279843,,
234,1.2900390625,0.5264187866927593,,
235,1.146484375,0.5851272015655578,,
236,1.4091796875,0.46771037181996084,,
237,1.548828125,0.4090019569471624,,
238,1.017578125,0.6301369863013698,,
239,0.95458984375,0.6086105675146771,,
240,1.2041015625,0.5068493150684932,,
241,1.3193359375,0.5303326810176126,,
242,1.2060546875,0.5146771037181996,,
243,1.3017578125,0.5205479452054794,,
244,1.1123046875,0.5772994129158513,,
245,1.3466796875,0.4931506849315068,,
246,1.197265625,0.5792563600782779,,
247,1.21484375,0.5401174168297456,,
248,1.228515625,0.5244618395303327,,
249,1.1982421875,0.5694716242661448,,
250,1.4462890625,0.42857142857142855,,
250,,,1.43798828125,0.4804305283757339
251,1.279296875,0.5068493150684932,,
252,1.189453125,0.5244618395303327,,
253,1.2919921875,0.5225048923679061,,
254,1.4140625,0.5088062622309197,,
255,1.373046875,0.4598825831702544,,
256,1.2333984375,0.5185909980430529,,
257,1.1904296875,0.5225048923679061,,
258,1.4306640625,0.44031311154598823,,
259,1.28125,0.5185909980430529,,
260,1.1826171875,0.5870841487279843,,
261,1.171875,0.5322896281800391,,
262,1.3291015625,0.49706457925636005,,
263,1.5419921875,0.436399217221135,,
264,0.93994140625,0.6066536203522505,,
265,1.2587890625,0.5068493150684932,,
266,1.2734375,0.5205479452054794,,
267,1.2734375,0.5342465753424658,,
268,1.220703125,0.5264187866927593,,
269,1.3701171875,0.49706457925636005,,
270,1.4013671875,0.4735812133072407,,
271,1.455078125,0.47162426614481406,,
272,1.18359375,0.5694716242661448,,
273,1.0830078125,0.5949119373776908,,
274,1.298828125,0.5244618395303327,,
275,1.1357421875,0.589041095890411,,
276,1.39453125,0.5009784735812133,,
277,1.2177734375,0.5068493150684932,,
278,1.3115234375,0.5225048923679061,,
279,1.1064453125,0.5812133072407045,,
280,1.3564453125,0.47162426614481406,,
281,1.0107421875,0.6457925636007827,,
282,1.310546875,0.5362035225048923,,
283,1.5380859375,0.4246575342465753,,
284,1.1572265625,0.5244618395303327,,
285,1.3984375,0.5146771037181996,,
286,1.203125,0.5401174168297456,,
287,1.197265625,0.512720156555773,,
288,1.3515625,0.5166340508806262,,
289,1.271484375,0.5283757338551859,,
290,1.205078125,0.5283757338551859,,
291,1.1923828125,0.547945205479452,,
292,1.384765625,0.5146771037181996,,
293,1.306640625,0.5009784735812133,,
294,1.2890625,0.5459882583170255,,
295,1.384765625,0.4774951076320939,,
296,1.2939453125,0.5166340508806262,,
297,1.291015625,0.5362035225048923,,
298,1.5185546875,0.4246575342465753,,
299,0.99072265625,0.6438356164383562,,
300,1.3349609375,0.512720156555773,,
300,,,1.4523111979166667,0.4810828440965427
