step,loss,accuracy,eval_loss,eval_accuracy
0,,,1.776214599609375,0.39885029354207435
1,1.5029296875,0.46966731898238745,,
2,2.771484375,0.2720156555772994,,
3,1.4990234375,0.4344422700587084,,
4,1.7724609375,0.41487279843444225,,
5,1.7333984375,0.44422700587084146,,
6,1.7490234375,0.4070450097847358,,
7,1.6416015625,0.4187866927592955,,
8,1.744140625,0.44031311154598823,,
9,1.484375,0.4461839530332681,,
10,1.78125,0.41487279843444225,,
11,1.6416015625,0.4207436399217221,,
12,1.525390625,0.48336594911937375,,
13,1.740234375,0.4187866927592955,,
14,1.3486328125,0.48532289628180036,,
15,1.5927734375,0.410958904109589,,
16,1.6123046875,0.40117416829745595,,
17,1.4248046875,0.4324853228962818,,
18,1.3486328125,0.512720156555773,,
19,1.58203125,0.4050880626223092,,
20,1.5791015625,0.4461839530332681,,
21,1.5283203125,0.4383561643835616,,
22,1.853515625,0.3698630136986301,,
23,1.6044921875,0.43052837573385516,,
24,1.6064453125,0.45596868884540115,,
25,1.3994140625,0.4598825831702544,,
26,1.6640625,0.40117416829745595,,
27,1.8701171875,0.34637964774951074,,
28,1.7060546875,0.4050880626223092,,
29,1.7353515625,0.3972602739726027,,
30,1.4072265625,0.5420743639921722,,
31,1.4287109375,0.46966731898238745,,
32,1.70703125,0.44422700587084146,,
33,1.5791015625,0.4755381604696673,,
34,1.322265625,0.5283757338551859,,
35,1.75,0.3698630136986301,,
36,1.4716796875,0.41682974559686886,,
37,1.5859375,0.45596868884540115,,
38,2.173828125,0.32289628180039137,,
39,1.494140625,0.48336594911937375,,
40,1.517578125,0.4794520547945205,,
41,1.7724609375,0.38943248532289626,,
42,1.478515625,0.436399217221135,,
43,1.8701171875,0.3913894324853229,,
44,1.7958984375,0.45401174168297453,,
45,1.7626953125,0.3639921722113503,,
46,1.525390625,0.45401174168297453,,
47,1.8447265625,0.3953033268101761,,
48,1.251953125,0.5283757338551859,,
49,1.3681640625,0.5009784735812133,,
50,1.3173828125,0.4931506849315068,,
50,,,1.742950439453125,0.4042930528375734
51,2.32421875,0.3405088062622309,,
52,1.546875,0.4774951076320939,,
53,2.1328125,0.33659491193737767,,
54,1.7578125,0.41487279843444225,,
55,2.322265625,0.36203522504892366,,
56,1.4150390625,0.5205479452054794,,
57,1.6484375,0.41291585127201563,,
58,1.765625,0.34442270058708413,,
59,1.5771484375,0.37377690802348335,,
60,1.7421875,0.3816046966731898,,
61,1.2119140625,0.5440313111545988,,
62,1.748046875,0.4657534246575342,,
63,1.5078125,0.45596868884540115,,
64,1.7978515625,0.3679060665362035,,
65,1.4609375,0.4911937377690802,,
66,1.80859375,0.3953033268101761,,
67,1.568359375,0.49706457925636005,,
68,1.6396484375,0.461839530332681,,
69,1.447265625,0.4735812133072407,,
70,1.888671875,0.39921722113502933,,
71,1.55078125,0.4520547945205479,,
72,1.630859375,0.4070450097847358,,
73,1.55859375,0.4735812133072407,,
74,1.9462890625,0.34833659491193736,,
75,2.322265625,0.3268101761252446,,
76,1.67578125,0.3796477495107632,,
77,1.3349609375,0.49902152641878667,,
78,1.58203125,0.4637964774951076,,
79,1.8515625,0.38747553816046965,,
80,1.6337890625,0.461839530332681,,
81,2.142578125,0.30332681017612523,,
82,1.74609375,0.37573385518590996,,
83,1.5947265625,0.44422700587084146,,
84,1.650390625,0.35812133072407043,,
85,1.513671875,0.49510763209393344,,
86,1.3623046875,0.48532289628180036,,
87,1.7265625,0.3933463796477495,,
88,1.9326171875,0.3913894324853229,,
89,1.6455078125,0.4344422700587084,,
90,1.3974609375,0.5048923679060665,,
91,1.3125,0.5322896281800391,,
92,1.7421875,0.3776908023483366,,
93,1.6201171875,0.42857142857142855,,
